Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
15,3,20,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,2.785833333
25,3,20,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,2.308333333
15,4,20,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,6.675
25,4,20,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,4.6025
15,3.5,15,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,7.358333333
25,3.5,15,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,4.9275
15,3.5,25,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,2.435833333
25,3.5,25,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,1.994166667
20,3,15,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,3.910833333
20,4,15,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.84356,-1.19524,6.77957,-6.38E-02,16.2864,59.9875,20.7253,18,22957,9.00E+00,28.0333,1,726.039,405.042,372.783,82,81,9.008333333
