,Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
64,15,3.0,20,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,8.544166667
65,25,3.0,20,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,5.714166667000001
66,15,4.0,20,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,8.460833333
67,25,4.0,20,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,5.7191666670000005
68,15,3.5,15,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,11.325
69,25,3.5,15,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,7.233333332999999
70,15,3.5,25,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,5.7
71,25,3.5,25,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,4.139166667
72,20,3.0,15,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,8.4225
74,20,3.0,25,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,4.710833333
