,Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
0,15,3.0,20,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.8435599999999999,-1.1952399999999999,6.77957,-0.0638,16.2864,59.9875,20.7253,18,22957.0,9.0,28.0333,1.0,726.039,405.042,372.783,82,81,2.7858333330000002
2,15,4.0,20,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.8435599999999999,-1.1952399999999999,6.77957,-0.0638,16.2864,59.9875,20.7253,18,22957.0,9.0,28.0333,1.0,726.039,405.042,372.783,82,81,6.675
7,25,3.5,25,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.8435599999999999,-1.1952399999999999,6.77957,-0.0638,16.2864,59.9875,20.7253,18,22957.0,9.0,28.0333,1.0,726.039,405.042,372.783,82,81,1.9941666669999998
10,20,3.0,25,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.8435599999999999,-1.1952399999999999,6.77957,-0.0638,16.2864,59.9875,20.7253,18,22957.0,9.0,28.0333,1.0,726.039,405.042,372.783,82,81,1.585833333
11,20,4.0,25,46.98,2,5,8.1285,4.79,448.156,449.402,12.2245,19.9249,-0.626001,-1.8435599999999999,-1.1952399999999999,6.77957,-0.0638,16.2864,59.9875,20.7253,18,22957.0,9.0,28.0333,1.0,726.039,405.042,372.783,82,81,3.333333333
16,15,3.0,20,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,0.9475
17,25,3.0,20,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,0.8725
18,15,4.0,20,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,0.9391666667
19,25,4.0,20,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,0.8666666667
24,20,3.0,15,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,1.2525
25,20,4.0,15,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,1.25
26,20,3.0,25,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,0.6691666667
27,20,4.0,25,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,0.6666666667
33,25,3.0,20,23.36,2,1,4.2792,2.79,231.046,232.13299999999998,5.9979,7.572369999999999,-2.5571099999999998,2.97571,-0.959167,2.1989,-0.12019500000000001,14.2541,32.9987,9.63412,7,2120.0,4.0,12.0714,0.75,396.463,204.063,180.717,40,39,1.064166667
35,25,4.0,20,23.36,2,1,4.2792,2.79,231.046,232.13299999999998,5.9979,7.572369999999999,-2.5571099999999998,2.97571,-0.959167,2.1989,-0.12019500000000001,14.2541,32.9987,9.63412,7,2120.0,4.0,12.0714,0.75,396.463,204.063,180.717,40,39,2.1
40,20,3.0,15,23.36,2,1,4.2792,2.79,231.046,232.13299999999998,5.9979,7.572369999999999,-2.5571099999999998,2.97571,-0.959167,2.1989,-0.12019500000000001,14.2541,32.9987,9.63412,7,2120.0,4.0,12.0714,0.75,396.463,204.063,180.717,40,39,1.664166667
