,mean_fit_time,mean_score_time,mean_test_explained_variance,mean_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,mean_test_neg_median_absolute_error,mean_test_r2,mean_train_explained_variance,mean_train_neg_mean_absolute_error,mean_train_neg_mean_squared_error,mean_train_neg_median_absolute_error,mean_train_r2,params,rank_test_explained_variance,rank_test_neg_mean_absolute_error,rank_test_neg_mean_squared_error,rank_test_neg_median_absolute_error,rank_test_r2,std_fit_time,std_score_time,std_test_explained_variance,std_test_neg_mean_absolute_error,std_test_neg_mean_squared_error,std_test_neg_median_absolute_error,std_test_r2,std_train_explained_variance,std_train_neg_mean_absolute_error,std_train_neg_mean_squared_error,std_train_neg_median_absolute_error,std_train_r2,Name,Feature_Set
3,0.001233983039855957,0.00608060359954834,0.4375076872975309,-0.9116139843197918,-1.925212215192418,-0.7878881945221351,0.33648859297885586,0.9171165377708436,-0.5893338813757729,-0.7952973766599322,-0.30397920834625014,0.91658195389888,{'n_neighbors': 4},3,1,1,2,2,0.00033803041385842807,0.0023292334376600683,0.33844296694592174,0.6497177089109424,2.2603104863514836,0.6461678742189301,0.39481568776432757,0.010316032027689067,0.034856903743099125,0.07832196219801782,0.05732941164062959,0.010298075744298755,K-nn,30_features
497,0.07895426750183106,0.01774475574493408,0.5070862575583558,-0.7803054765355036,-1.3750150299574788,-0.6613392798228077,0.052519480979463296,0.9849693853063688,-0.25335895210093196,-0.1434492207594201,-0.1614441315369066,0.9849191592904166,"{'n_estimators': 50, 'max_depth': 10, 'max_features': 27, 'min_samples_leaf': 0.01}",130,1,1,16,174,0.004105226860045681,0.0024284707948083535,0.51168776587763,0.46074085632531675,1.7958924124146114,0.42477053811547916,1.3609875117601888,0.002405005527579842,0.018729592992113717,0.01767893855312618,0.02780994178726055,0.002402659250829041,Random_Forest,30_features
236,0.015111327171325684,0.0019498586654663086,0.5765715999004674,-0.6589797173517419,-1.0205491711485486,-0.5276271176210312,0.3153720928669041,0.9847533318205273,-0.24924534371315482,-0.14521966679886536,-0.1342846779212959,0.9847533318205273,"{'n_estimators': 50, 'max_depth': 6, 'max_features': 7, 'min_samples_leaf': 0.040000000000000001}",84,1,1,10,48,0.0020256747403974,0.0002774297442570834,0.5308374793580009,0.3745413737890636,1.3169281714984145,0.2706236637431212,1.0078867094851054,0.0021538382707922935,0.01634624677262692,0.015525897365782016,0.032811314447116935,0.0021538382707922935,GBT,30_features
79,0.007458043098449707,0.0018350601196289063,-1.8456270721111518,-0.9208691057543841,-1.3572371640136451,-0.7972722089840127,-2.4684290245770657,0.8625147725583824,-0.9444927170291825,-1.4344391843163746,-0.7980804375346272,0.847777405851706,"{'momentum': 0.2, 'max_iter': 50000, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.1}",31,1,1,1,11,0.0031141794578083476,0.00037537983980092846,7.150121289615145,0.23804419742317914,0.5393653593663538,0.3288718749837427,8.087464855137537,0.05310087793329126,0.1491448395628415,0.3962283526813986,0.2078903165224135,0.049512276334808154,ANN,30_features
0,0.0031351804733276366,0.002236199378967285,-1.1507710310788966,-0.9379751528903184,-1.527594753704018,-0.7644786017133208,-2.172233537126648,0.8976397290463577,-0.7561274356481789,-0.9767963330559415,-0.6143397214706229,0.8976397290463576,"{'max_iter': 10000, 'alpha': 0.1}",11,1,1,1,1,0.001349028002871416,0.0008170287043577264,4.977878139020938,0.26706972900072984,1.036329616991712,0.2383249868225148,7.4278995283508324,0.009139906600058187,0.033219048403669474,0.0595200252850645,0.059063246262800795,0.009139906600058163,Lasso,30_features
1,0.0020791769027709963,0.0014485836029052735,-1.1507710310788966,-0.9379751528903184,-1.527594753704018,-0.7644786017133208,-2.1722335371266497,0.8976397290463577,-0.7561274356481789,-0.9767963330559416,-0.6143397214706228,0.8976397290463576,"{'max_iter': 50000, 'alpha': 0.1}",11,1,1,1,2,0.0004525469525044663,0.00012434884589030337,4.977878139020938,0.2670697290007299,1.036329616991712,0.23832498682251485,7.427899528350836,0.009139906600058187,0.033219048403669474,0.05952002528506449,0.05906324626280073,0.009139906600058163,Lasso,30_features
0,0.003217601776123047,0.0024698257446289064,-1.7730476400854327,-0.9038146400632606,-1.3351857924548225,-0.8122375536056258,-1.9010535089103378,0.910809545384803,-0.7159055576203877,-0.8517297695017577,-0.6091710276558929,0.910809408611987,{'normalize': True},1,1,1,1,1,0.002889740176312956,0.001116971627456486,6.733066938337692,0.24935577748919038,0.8024878340141381,0.3016110636618445,6.698766752298687,0.008235627017494439,0.03355471862931513,0.06519301087878081,0.06949259367226057,0.008235332825078084,LR,30_features
6,0.000791168212890625,0.003526592254638672,0.3251694146507765,-1.3255288541458332,-2.7466143818535103,-1.1623438738065472,-1.7187242156874145,0.8282154118948691,-0.9975388427784366,-1.6498368330102327,-0.8435440952721429,0.8270757653551982,{'n_neighbors': 7},1,2,1,2,1,0.00019255707058479218,0.0009231479034513375,0.5210208925388816,0.4011845861722986,1.678107569022788,0.39267584540204237,4.266358656791899,0.017074280557678657,0.06555849701285306,0.11292723342267139,0.09854293131267633,0.01740773269712423,K-nn,6_features
180,0.014220714569091797,0.005361604690551758,0.3850795064352206,-0.8233040292929686,-1.4415936603016455,-0.5507799886396356,-0.08022965823770294,0.9783025356839422,-0.3004714887370411,-0.209965219733833,-0.17706164180815498,0.9781620430553726,"{'n_estimators': 10, 'max_depth': 10, 'max_features': 2, 'min_samples_leaf': 0.01}",110,1,1,1,12,0.00043509211550974667,0.0001512523331822907,0.6484146089267347,0.38448792320541286,1.1726353270372099,0.2789618228593667,1.4750539557255922,0.004485364147752828,0.0378850047622234,0.049439515464525394,0.04766112172461894,0.004548623903545628,Random_Forest,6_features
104,0.012501788139343262,0.0019170999526977538,-0.047606601590337604,-0.738416379289851,-1.0513229169867289,-0.568437031976274,-0.8612374733182988,0.9735410243305942,-0.3339975921609565,-0.25231109207012625,-0.19404544682895172,0.9735410243305942,"{'n_estimators': 50, 'max_depth': 6, 'max_features': 2, 'min_samples_leaf': 0.050000000000000003}",155,15,1,23,58,0.0021585610769657487,0.0002806094801329767,2.1977664387431606,0.27488878633391717,0.7241115261762713,0.32524422900199257,4.133248106346684,0.0031253068801947235,0.02847780041104383,0.023521079751350753,0.037487276808563216,0.0031253068801947235,GBT,6_features
