,Unnamed: 0,mean_fit_time,mean_score_time,mean_test_explained_variance,mean_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,mean_test_neg_median_absolute_error,mean_test_r2,mean_train_explained_variance,mean_train_neg_mean_absolute_error,mean_train_neg_mean_squared_error,mean_train_neg_median_absolute_error,mean_train_r2,param_classify,param_classify__C,param_classify__alpha,param_classify__hidden_layer_sizes,param_classify__kernel,param_classify__learning_rate,param_classify__max_depth,param_classify__max_features,param_classify__max_iter,param_classify__min_samples_leaf,param_classify__momentum,param_classify__n_estimators,param_classify__n_neighbors,param_classify__normalize,param_reduce_dim,param_reduce_dim__k,param_reduce_dim__n_components,params,rank_test_explained_variance,rank_test_neg_mean_absolute_error,rank_test_neg_mean_squared_error,rank_test_neg_median_absolute_error,rank_test_r2,std_fit_time,std_score_time,std_test_explained_variance,std_test_neg_mean_absolute_error,std_test_neg_mean_squared_error,std_test_neg_median_absolute_error,std_test_r2,std_train_explained_variance,std_train_neg_mean_absolute_error,std_train_neg_mean_squared_error,std_train_neg_median_absolute_error,std_train_r2,Algorithm
12,12,0.005388402938842772,0.008993172645568847,0.09659321690662842,-1.073598026972406,-1.8162184200534397,-1.0013186554960252,-3.12397409577048,0.835916931474755,-0.8352393537264813,-1.1616060448336183,-0.6683031140039711,0.835916931474755,"Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False)",,0.1,,,,,,100000.0,,,,,,"PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)",,10.0,"{'classify': Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False), 'classify__alpha': 0.1, 'classify__max_iter': 100000, 'reduce_dim': PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 10}",20512,18944,17425,18752,21466,0.0028272879285030114,0.015602920399661073,0.9741190583612088,0.3825889845342841,1.1758176651428418,0.5004564334774395,9.196806528553847,0.019933711130750584,0.033622895464727215,0.07931292561129683,0.09032388642036317,0.01993371113075062,Lasso
24,24,0.003787732124328613,0.005910038948059082,0.09659321690662842,-1.073598026972406,-1.8162184200534397,-1.0013186554960252,-3.12397409577048,0.835916931474755,-0.8352393537264813,-1.1616060448336183,-0.6683031140039711,0.835916931474755,"Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False)",,0.1,,,,,,100000.0,,,,,,"PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)",,15.0,"{'classify': Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False), 'classify__alpha': 0.1, 'classify__max_iter': 100000, 'reduce_dim': PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 15}",20512,18944,17425,18752,21466,0.002725977316626964,0.00598066969692413,0.9741190583612088,0.3825889845342841,1.1758176651428418,0.5004564334774395,9.196806528553847,0.019933711130750584,0.033622895464727215,0.07931292561129683,0.09032388642036317,0.01993371113075062,Lasso
36,36,0.0035845041275024405,0.0052279472351074215,0.09659321690662842,-1.073598026972406,-1.8162184200534397,-1.0013186554960252,-3.12397409577048,0.835916931474755,-0.8352393537264813,-1.1616060448336183,-0.6683031140039711,0.835916931474755,"Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False)",,0.1,,,,,,100000.0,,,,,,"PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)",,20.0,"{'classify': Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False), 'classify__alpha': 0.1, 'classify__max_iter': 100000, 'reduce_dim': PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 20}",20512,18944,17425,18752,21466,0.0021845314875735575,0.0038635683003754796,0.9741190583612088,0.3825889845342841,1.1758176651428418,0.5004564334774395,9.196806528553847,0.019933711130750584,0.033622895464727215,0.07931292561129683,0.09032388642036317,0.01993371113075062,Lasso
48,48,0.0059997081756591785,0.0036126852035522467,0.09659321690662842,-1.073598026972406,-1.8162184200534397,-1.0013186554960252,-3.12397409577048,0.835916931474755,-0.8352393537264813,-1.1616060448336183,-0.6683031140039711,0.835916931474755,"Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False)",,0.1,,,,,,100000.0,,,,,,"PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)",,25.0,"{'classify': Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False), 'classify__alpha': 0.1, 'classify__max_iter': 100000, 'reduce_dim': PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 25}",20512,18944,17425,18752,21466,0.004633800529637901,0.0030180588623982874,0.9741190583612088,0.3825889845342841,1.1758176651428418,0.5004564334774395,9.196806528553847,0.019933711130750584,0.033622895464727215,0.07931292561129683,0.09032388642036317,0.01993371113075062,Lasso
60,60,0.00561521053314209,0.005952000617980957,0.09659321690662842,-1.073598026972406,-1.8162184200534397,-1.0013186554960252,-3.12397409577048,0.835916931474755,-0.8352393537264813,-1.1616060448336183,-0.6683031140039711,0.835916931474755,"Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False)",,0.1,,,,,,100000.0,,,,,,"PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)",,30.0,"{'classify': Lasso(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False), 'classify__alpha': 0.1, 'classify__max_iter': 100000, 'reduce_dim': PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 30}",20512,18944,17425,18752,21466,0.007890436492193733,0.012036715422868896,0.9741190583612088,0.3825889845342841,1.1758176651428418,0.5004564334774395,9.196806528553847,0.019933711130750584,0.033622895464727215,0.07931292561129683,0.09032388642036317,0.01993371113075062,Lasso
98,98,0.00643455982208252,0.0042763233184814455,0.44550778823742143,-0.5649697044906723,-0.6086590891357765,-0.4309604137002823,0.2598065517743554,0.9584711563529412,-0.2971590447302088,-0.30301198442890265,-0.10039447229197017,0.9572393337226444,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1, gamma='auto',
  kernel='rbf', max_iter=-1, shrinking=True, tol=0.001, verbose=False)",10.0,,,rbf,,,,,,,,,,"PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)",,10.0,"{'classify': SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1, gamma='auto',
  kernel='rbf', max_iter=-1, shrinking=True, tol=0.001, verbose=False), 'classify__C': 10, 'classify__kernel': 'rbf', 'reduce_dim': PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 10}",4576,4,14,2,2233,0.004887115686946428,0.00368679822755328,0.9679341239383604,0.223282150953584,0.482058804248568,0.1693981345218165,1.2482947417203405,0.006580875540143443,0.0188294424538817,0.0407373375418881,0.00021243028577741415,0.006786096476067733,SVR
15922,15922,0.4060697555541992,0.0024289846420288085,0.3992696231757951,-0.5602377853327271,-0.5394114362259367,-0.4989902694127389,0.25257031670767466,0.9571425091455424,-0.3882400243239346,-0.30371943362560205,-0.271891361646939,0.9571365061860132,"MLPRegressor(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(13,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=50000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)",,,"(13,)",,constant,,,50000.0,,0.2,,,,"PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)",,25.0,"{'classify': MLPRegressor(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(13,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=50000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (13,), 'classify__learning_rate': 'constant', 'classify__max_iter': 50000, 'classify__momentum': 0.2, 'reduce_dim': PCA(copy=True, iterated_power='auto', n_components=25, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'reduce_dim__n_components': 25}",7166,2,1,69,2380,0.09636261633313087,0.0003092385559294136,1.163337089842712,0.20694050098451525,0.33708737054588633,0.18322949755906906,1.2421193148872214,0.007124733165614092,0.04310157113463686,0.04354040759607308,0.042835071846437166,0.0071304727092059905,MLPRegressor
16029,16029,0.054279017448425296,0.04090685844421386,0.06644048646014357,-0.7311302530083229,-0.8176048993346089,-0.6286567130828848,-0.9556145390961088,0.8890273573950827,-0.6431773444261547,-0.8327287134613217,-0.4656043124774935,0.8826542980439024,"Ridge(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=None, solver='auto', tol=0.001)",,0.1,,,,,,100000.0,,,,,,"NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
  n_components=None, random_state=None, shuffle=False, solver='cd',
  tol=0.0001, verbose=0)",,30.0,"{'classify': Ridge(alpha=1.0, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=None, solver='auto', tol=0.001), 'classify__alpha': 0.1, 'classify__max_iter': 100000, 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
  n_components=None, random_state=None, shuffle=False, solver='cd',
  tol=0.0001, verbose=0), 'reduce_dim__n_components': 30}",20904,2181,257,3433,17401,0.02162066686912065,0.02289080571706641,1.852835496012566,0.21542905038435065,0.38158320117609335,0.24307566250110085,4.293439416227538,0.034674524235137755,0.09774496016614387,0.272256973818348,0.09614449432239,0.03835682431927581,Ridge
19763,19763,0.07133169174194336,0.014088034629821776,0.5583491139602791,-0.6425332718737303,-0.7895974336737661,-0.5820300762219042,0.14476434225152807,0.9819102388276126,-0.23832265519105175,-0.12863728581796013,-0.15449818535544846,0.9818541420373126,"RandomForestRegressor(bootstrap=True, criterion='mse', max_depth=None,
           max_features='auto', max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",,,,,,8.0,22.0,,0.01,,60.0,,,"SelectKBest(k=10, score_func=<function f_classif at 0x7fdf59246e18>)",30.0,,"{'classify': RandomForestRegressor(bootstrap=True, criterion='mse', max_depth=None,
           max_features='auto', max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
           oob_score=False, random_state=None, verbose=0, warm_start=False), 'classify__max_depth': 8, 'classify__max_features': 22, 'classify__min_samples_leaf': 0.01, 'classify__n_estimators': 60, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x7fdf59246e18>), 'reduce_dim__k': 30}",1330,172,176,1302,5189,0.003104173208128251,0.00012248823822363653,0.35826373584281884,0.3083908502084619,0.6077656032119858,0.367875742512471,1.2423060107550483,0.002545137496813478,0.018657674754202942,0.014123013738055697,0.03330426777205935,0.002519081342349903,RandomForestRegressor
23579,23579,0.019351720809936523,0.0028629302978515625,0.667593681260011,-0.5849333474655072,-0.684119336309876,-0.5236617234739872,0.44185886113358197,0.9889165945733266,-0.18296725885822535,-0.07881563557605396,-0.09642339689970483,0.9889165945733266,"GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse', init=None,
             learning_rate=0.1, loss='ls', max_depth=3, max_features=None,
             max_leaf_nodes=None, min_impurity_decrease=0.0,
             min_impurity_split=None, min_samples_leaf=1,
             min_samples_split=2, min_weight_fraction_leaf=0.0,
             n_estimators=100, presort='auto', random_state=None,
             subsample=1.0, verbose=0, warm_start=False)",,,,,,8.0,7.0,,0.04,,70.0,,,"SelectKBest(k=10, score_func=<function f_classif at 0x7fdf59246e18>)",30.0,,"{'classify': GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse', init=None,
             learning_rate=0.1, loss='ls', max_depth=3, max_features=None,
             max_leaf_nodes=None, min_impurity_decrease=0.0,
             min_impurity_split=None, min_samples_leaf=1,
             min_samples_split=2, min_weight_fraction_leaf=0.0,
             n_estimators=100, presort='auto', random_state=None,
             subsample=1.0, verbose=0, warm_start=False), 'classify__max_depth': 8, 'classify__max_features': 7, 'classify__min_samples_leaf': 0.040000000000000001, 'classify__n_estimators': 70, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x7fdf59246e18>), 'reduce_dim__k': 30}",166,12,41,204,363,0.0015095935073146,0.0004649017405086289,0.2880173811439871,0.31885478437562914,0.646596148291823,0.4260887963585336,0.6723915210446336,0.0009711297922806712,0.012373475727824898,0.006380832181686781,0.017365948039755674,0.0009711297922806712,GradientBoostingRegressor
